customer_id,income_from,income_to,qualification,age,child,tenure,retired_flag,income
10550,,,Higher education,45,3,Mortgaged,0,0
10554,60000,69999,Degree or higher,32,0,Mortgaged,0,64999.5
10556,30000,39999,Degree or higher,41,2,Mortgaged,0,34999.5
10568,20000,29999,Degree or higher,40,0,Rented,0,24999.5
10580,70000,,Degree or higher,41,0,Owned outright,0,35000
10588,,,GCSE,62,0,Owned outright,0,0
1059,40000,49999,Other,60,0,Owned outright,0,44999.5
10599,,,Degree or higher,47,1,Other,0,0
10602,,,Degree or higher,62,0,Rented,0,0
10606,70000,,Degree or higher,42,4,Mortgaged,0,35000
10614,30000,39999,Degree or higher,50,0,Owned outright,0,34999.5
10616,10000,19999,None,67,0,Rented,1,14999.5
1062,40000,49999,Other,61,0,Owned outright,0,44999.5
10621,70000,,Degree or higher,50,1,Mortgaged,0,35000
10627,30000,39999,Higher education,39,2,Mortgaged,0,34999.5
10634,50000,59999,Degree or higher,33,1,Mortgaged,0,54999.5
10637,50000,59999,A Level,62,0,Mortgaged,0,54999.5
10639,70000,,Degree or higher,41,0,Mortgaged,0,35000
10640,10000,19999,GCSE,76,0,Owned outright,1,14999.5
10641,60000,69999,Degree or higher,41,3,Mortgaged,0,64999.5
10646,,,None,64,0,Rented,0,0
1065,20000,29999,Higher education,43,2,Mortgaged,0,24999.5
10650,,,Other,56,0,Rented,0,0
1066,,,GCSE,60,0,Rented,0,0
10671,30000,39999,Other,48,1,Rented,0,34999.5
10676,30000,39999,A Level,50,1,Mortgaged,0,34999.5
10684,40000,49999,Unknown,65,0,Mortgaged,0,44999.5
10692,20000,29999,Higher education,38,2,Rented,0,24999.5
10695,10000,19999,Degree or higher,46,0,Rented,0,14999.5
10698,40000,49999,Higher education,41,2,Mortgaged,0,44999.5
1070,50000,59999,A Level,45,0,Mortgaged,0,54999.5
10700,,,GCSE,71,0,Rented,1,0
10703,70000,,GCSE,51,0,Mortgaged,0,35000
10705,50000,59999,Degree or higher,34,0,Mortgaged,0,54999.5
10707,30000,39999,GCSE,39,3,Rented,0,34999.5
10709,,,None,69,0,Mortgaged,1,0
10713,50000,59999,None,64,0,Mortgaged,0,54999.5
1072,60000,69999,Unknown,45,0,Rented,0,64999.5
10722,0,9999,Degree or higher,33,0,Rented,0,4999.5
10724,60000,69999,Degree or higher,42,0,Owned outright,0,64999.5
10737,,,Higher education,52,0,Owned outright,0,0
10740,20000,29999,GCSE,63,0,Owned outright,0,24999.5
10742,30000,39999,Degree or higher,59,0,Rented,0,34999.5
10748,30000,39999,A Level,62,0,Owned outright,0,34999.5
1075,70000,,Degree or higher,47,2,Mortgaged,0,35000
10750,60000,69999,Degree or higher,36,2,Mortgaged,0,64999.5
10752,30000,39999,Degree or higher,37,1,Mortgaged,0,34999.5
10755,10000,19999,GCSE,54,0,Owned outright,0,14999.5
10761,,,Degree or higher,36,2,Mortgaged,0,0
10762,,,Higher education,46,2,Mortgaged,0,0
10763,20000,29999,None,72,0,Owned outright,1,24999.5
10766,10000,19999,Degree or higher,117,0,Rented,1,14999.5
10768,,,Higher education,45,2,Mortgaged,0,0
1077,20000,29999,GCSE,53,0,Owned outright,0,24999.5
10775,,,GCSE,60,0,Mortgaged,0,0
10780,70000,,GCSE,63,0,Owned outright,0,35000
10787,20000,29999,A Level,30,2,Rented,0,24999.5
10796,20000,29999,Degree or higher,27,0,Rented,0,24999.5
10798,40000,49999,Degree or higher,48,1,Mortgaged,0,44999.5
10800,40000,49999,Degree or higher,35,2,Mortgaged,0,44999.5
10809,20000,29999,Degree or higher,40,2,Mortgaged,0,24999.5
10815,60000,69999,Unknown,57,0,Mortgaged,0,64999.5
10816,,,Other,46,3,Rented,0,0
10819,10000,19999,GCSE,34,4,Rented,0,14999.5
10822,30000,39999,Degree or higher,46,1,Mortgaged,0,34999.5
10825,20000,29999,GCSE,45,2,Owned outright,0,24999.5
10832,50000,59999,Higher education,40,2,Mortgaged,0,54999.5
10836,20000,29999,Degree or higher,39,2,Rented,0,24999.5
10838,,,GCSE,82,0,Owned outright,1,0
1084,,,Other,56,1,Owned outright,0,0
10842,30000,39999,A Level,35,1,Mortgaged,0,34999.5
10845,10000,19999,Degree or higher,66,0,Owned outright,1,14999.5
10848,20000,29999,A Level,76,0,Owned outright,1,24999.5
10881,70000,,A Level,55,0,Owned outright,0,35000
10882,10000,19999,Other,71,0,Owned outright,1,14999.5
10884,20000,29999,Degree or higher,48,1,Mortgaged,0,24999.5
10885,70000,,Degree or higher,40,2,Mortgaged,0,35000
10886,20000,29999,Other,50,0,Owned outright,0,24999.5
10888,10000,19999,GCSE,65,0,Owned outright,1,14999.5
10889,70000,,Degree or higher,38,2,Mortgaged,0,35000
10900,20000,29999,Degree or higher,33,2,Mortgaged,0,24999.5
10903,50000,59999,Degree or higher,35,0,Mortgaged,0,54999.5
10908,30000,39999,None,54,1,Mortgaged,0,34999.5
10917,20000,29999,Degree or higher,48,0,Owned outright,0,24999.5
1092,30000,39999,A Level,54,0,Mortgaged,0,34999.5
10920,,,GCSE,77,0,Owned outright,1,0
10926,20000,29999,None,83,0,Owned outright,1,24999.5
10939,10000,19999,A Level,48,1,Mortgaged,0,14999.5
10944,20000,29999,GCSE,50,0,Mortgaged,0,24999.5
10957,,,Higher education,69,0,Owned outright,1,0
10959,10000,19999,GCSE,36,2,Owned outright,0,14999.5
10960,10000,19999,Other,77,0,Owned outright,1,14999.5
10964,30000,39999,Higher education,49,0,Mortgaged,0,34999.5
10974,40000,49999,GCSE,49,0,Mortgaged,0,44999.5
10980,20000,29999,GCSE,40,1,Mortgaged,0,24999.5
10986,20000,29999,Degree or higher,54,0,Owned outright,0,24999.5
10987,20000,29999,Higher education,60,0,Other,0,24999.5
10989,10000,19999,None,44,1,Rented,0,14999.5
1099,0,9999,A Level,78,0,Mortgaged,1,4999.5
10993,,,Higher education,77,0,Owned outright,1,0
10995,,,None,60,0,Owned outright,0,0
11,30000,39999,Degree or higher,70,0,Owned outright,1,34999.5
11008,50000,59999,Higher education,56,0,Owned outright,0,54999.5
11016,50000,59999,Other,48,1,Owned outright,0,54999.5
11017,20000,29999,Degree or higher,56,0,Rented,0,24999.5
11021,20000,29999,Other,58,0,Mortgaged,0,24999.5
11025,70000,,Degree or higher,48,0,Mortgaged,0,35000
11026,50000,59999,Higher education,53,0,Rented,0,54999.5
11028,,,Degree or higher,65,0,Rented,1,0
1103,,,Higher education,44,2,Mortgaged,0,0
11031,20000,29999,None,65,0,Owned outright,1,24999.5
11035,40000,49999,Degree or higher,43,0,Mortgaged,0,44999.5
11038,,,None,89,0,Owned outright,1,0
11039,50000,59999,GCSE,53,0,Mortgaged,0,54999.5
11042,30000,39999,Higher education,48,0,Mortgaged,0,34999.5
11043,70000,,Degree or higher,65,0,Owned outright,1,35000
11045,30000,39999,GCSE,75,0,Owned outright,1,34999.5
11052,30000,39999,A Level,34,1,Mortgaged,0,34999.5
11057,70000,,GCSE,65,0,Owned outright,1,35000
11062,20000,29999,GCSE,72,2,Owned outright,0,24999.5
11063,10000,19999,GCSE,59,0,Owned outright,0,14999.5
11069,20000,29999,A Level,50,1,Rented,0,24999.5
1107,30000,39999,GCSE,42,2,Mortgaged,0,34999.5
11077,20000,29999,Higher education,66,0,Owned outright,1,24999.5
11078,30000,39999,A Level,38,2,Rented,0,34999.5
11079,20000,29999,Degree or higher,72,0,Owned outright,1,24999.5
11082,,,A Level,76,0,Owned outright,1,0
11088,,,GCSE,59,0,Owned outright,0,0
11089,40000,49999,Other,58,0,Owned outright,0,44999.5
1110,30000,39999,GCSE,44,2,Rented,0,34999.5
11102,,,Higher education,70,1,Rented,0,0
11104,10000,19999,Degree or higher,47,0,Rented,0,14999.5
11115,10000,19999,Higher education,62,0,Owned outright,0,14999.5
11118,,,A Level,63,0,Owned outright,0,0
1113,20000,29999,Degree or higher,40,2,Owned outright,0,24999.5
11130,0,9999,GCSE,54,0,Mortgaged,0,4999.5
11136,20000,29999,Other,51,0,Rented,0,24999.5
11138,40000,49999,A Level,49,0,Mortgaged,0,44999.5
11145,10000,19999,Unknown,67,0,Owned outright,1,14999.5
11146,70000,,Degree or higher,53,0,Mortgaged,0,35000
1117,70000,,Higher education,45,0,Mortgaged,0,35000
1119,10000,19999,Degree or higher,30,1,Rented,0,14999.5
11199,70000,,Degree or higher,45,0,Owned outright,0,35000
11202,50000,59999,Unknown,50,0,Unknown,0,54999.5
11203,,,A Level,44,0,Rented,0,0
11209,20000,29999,GCSE,46,0,Rented,0,24999.5
11212,0,9999,GCSE,57,0,Mortgaged,0,4999.5
11218,30000,39999,Degree or higher,59,1,Mortgaged,0,34999.5
11221,30000,39999,Degree or higher,35,0,Rented,0,34999.5
11228,,,None,48,0,Mortgaged,0,0
11230,20000,29999,A Level,44,1,Mortgaged,0,24999.5
11234,20000,29999,GCSE,43,1,Rented,0,24999.5
11236,,,Unknown,79,0,Owned outright,1,0
11239,30000,39999,Higher education,123,0,Owned outright,1,34999.5
11242,,,Other,34,3,Rented,0,0
11245,20000,29999,GCSE,63,0,Owned outright,0,24999.5
11252,20000,29999,GCSE,58,0,Owned outright,0,24999.5
11259,10000,19999,Higher education,63,0,Owned outright,0,14999.5
11266,10000,19999,None,76,0,Owned outright,1,14999.5
11273,30000,39999,A Level,38,2,Rented,0,34999.5
11277,40000,49999,Degree or higher,41,1,Rented,0,44999.5
11289,10000,19999,GCSE,44,0,Rented,0,14999.5
11290,10000,19999,Degree or higher,70,0,Owned outright,1,14999.5
11292,30000,39999,Degree or higher,51,1,Rented,0,34999.5
11294,,,Degree or higher,52,2,Owned outright,0,0
11296,50000,59999,Degree or higher,53,0,Mortgaged,0,54999.5
11304,30000,39999,A Level,45,0,Mortgaged,0,34999.5
11308,10000,19999,A Level,37,2,Mortgaged,0,14999.5
11312,0,9999,A Level,33,2,Rented,0,4999.5
11322,10000,19999,A Level,34,2,Rented,0,14999.5
11325,30000,39999,GCSE,48,0,Mortgaged,0,34999.5
11331,40000,49999,Degree or higher,65,0,Mortgaged,1,44999.5
11335,0,9999,Other,62,0,Owned outright,0,4999.5
11343,50000,59999,Degree or higher,44,0,Mortgaged,0,54999.5
11348,0,9999,None,87,0,Rented,1,4999.5
11353,0,9999,Higher education,37,2,Rented,0,4999.5
11354,10000,19999,GCSE,83,0,Owned outright,1,14999.5
11357,10000,19999,Degree or higher,71,0,Rented,0,14999.5
11368,60000,69999,A Level,55,0,Mortgaged,0,64999.5
1137,20000,29999,A Level,35,1,Owned outright,0,24999.5
11371,50000,59999,Degree or higher,38,2,Mortgaged,0,54999.5
11376,60000,69999,Degree or higher,30,0,Mortgaged,0,64999.5
11378,30000,39999,A Level,81,0,Owned outright,1,34999.5
11385,20000,29999,GCSE,53,0,Mortgaged,0,24999.5
11391,20000,29999,GCSE,29,3,Mortgaged,0,24999.5
11393,40000,49999,Degree or higher,36,1,Mortgaged,0,44999.5
11394,20000,29999,Degree or higher,25,0,Rented,0,24999.5
11410,,,Higher education,40,0,Mortgaged,0,0
11418,50000,59999,GCSE,47,1,Mortgaged,0,54999.5
11419,,,Higher education,32,0,Rented,0,0
11421,,,Other,47,1,Mortgaged,0,0
11424,20000,29999,Higher education,50,0,Mortgaged,0,24999.5
11426,70000,,Higher education,49,1,Mortgaged,0,35000
11428,,,GCSE,57,0,Owned outright,0,0
11430,,,Higher education,47,1,Rented,0,0
11431,10000,19999,Degree or higher,54,0,Owned outright,0,14999.5
11432,20000,29999,Degree or higher,61,0,Mortgaged,0,24999.5
11434,50000,59999,A Level,40,3,Mortgaged,0,54999.5
11437,50000,59999,Degree or higher,41,1,Rented,0,54999.5
11447,,,None,79,0,Owned outright,1,0
1145,20000,29999,GCSE,60,0,Mortgaged,0,24999.5
1146,10000,19999,Higher education,39,0,Rented,0,14999.5
11466,10000,19999,GCSE,59,0,Rented,0,14999.5
11473,10000,19999,GCSE,35,2,Rented,0,14999.5
11474,30000,39999,Higher education,42,2,Mortgaged,0,34999.5
11475,0,9999,A Level,63,0,Owned outright,0,4999.5
11479,30000,39999,GCSE,50,1,Mortgaged,0,34999.5
1148,20000,29999,Unknown,47,0,Mortgaged,0,24999.5
11484,30000,39999,Higher education,41,1,Rented,0,34999.5
11488,70000,,GCSE,43,0,Mortgaged,0,35000
11490,20000,29999,A Level,65,0,Owned outright,0,24999.5
11497,50000,59999,Higher education,31,0,Rented,0,54999.5
11498,0,9999,Higher education,52,0,Rented,0,4999.5
11504,40000,49999,A Level,41,2,Mortgaged,0,44999.5
1151,0,9999,GCSE,35,0,Rented,0,4999.5
11511,40000,49999,GCSE,53,0,Owned outright,0,44999.5
11514,30000,39999,GCSE,61,0,Mortgaged,0,34999.5
11523,20000,29999,Degree or higher,36,0,Rented,0,24999.5
11530,20000,29999,GCSE,48,0,Mortgaged,0,24999.5
11539,20000,29999,Degree or higher,69,0,Owned outright,1,24999.5
11549,20000,29999,Other,71,0,Owned outright,1,24999.5
11551,70000,,Degree or higher,53,0,Owned outright,0,35000
11552,20000,29999,Degree or higher,42,0,Mortgaged,0,24999.5
11554,50000,59999,Higher education,48,2,Mortgaged,0,54999.5
11557,20000,29999,Degree or higher,45,2,Mortgaged,0,24999.5
1156,,,GCSE,44,0,Rented,0,0
11563,70000,,Degree or higher,47,1,Mortgaged,0,35000
11582,60000,69999,Degree or higher,56,0,Mortgaged,0,64999.5
11585,50000,59999,Higher education,48,0,Mortgaged,0,54999.5
11602,40000,49999,GCSE,36,3,Mortgaged,0,44999.5
11608,20000,29999,A Level,60,0,Mortgaged,0,24999.5
1161,20000,29999,Degree or higher,78,0,Owned outright,1,24999.5
11616,60000,69999,Higher education,65,0,Owned outright,0,64999.5
11618,20000,29999,Degree or higher,47,0,Mortgaged,0,24999.5
11620,20000,29999,Degree or higher,51,0,Mortgaged,0,24999.5
11631,60000,69999,A Level,50,0,Mortgaged,0,64999.5
11638,,,A Level,43,2,Mortgaged,0,0
11641,10000,19999,Degree or higher,47,2,Owned outright,0,14999.5
11647,40000,49999,Degree or higher,28,0,Rented,0,44999.5
11651,20000,29999,Other,51,0,Owned outright,0,24999.5
11655,20000,29999,None,57,1,Mortgaged,0,24999.5
11660,,,Unknown,75,0,Owned outright,1,0
11662,10000,19999,Degree or higher,34,0,Mortgaged,0,14999.5
11663,20000,29999,Degree or higher,46,1,Rented,0,24999.5
11666,10000,19999,Other,72,0,Owned outright,1,14999.5
11678,70000,,Degree or higher,36,3,Owned outright,0,35000
11684,60000,69999,Degree or higher,38,0,Mortgaged,0,64999.5
11689,30000,39999,A Level,75,0,Owned outright,1,34999.5
11691,10000,19999,Other,70,0,Owned outright,1,14999.5
11698,20000,29999,Higher education,50,0,Owned outright,0,24999.5
11701,40000,49999,Degree or higher,58,0,Mortgaged,0,44999.5
1171,40000,49999,Degree or higher,39,2,Rented,0,44999.5
11714,50000,59999,Degree or higher,62,0,Owned outright,0,54999.5
11726,30000,39999,Degree or higher,60,0,Mortgaged,0,34999.5
11733,,,Other,71,0,Owned outright,1,0
11739,,,GCSE,78,0,Rented,1,0
11740,20000,29999,Higher education,37,1,Mortgaged,0,24999.5
11746,40000,49999,Degree or higher,49,0,Rented,0,44999.5
11748,,,GCSE,120,0,Rented,1,0
11755,10000,19999,GCSE,35,0,Rented,0,14999.5
11759,20000,29999,Higher education,34,0,Mortgaged,0,24999.5
11772,40000,49999,Higher education,58,1,Rented,0,44999.5
11777,,,GCSE,55,0,Mortgaged,0,0
11781,20000,29999,GCSE,33,0,Rented,0,24999.5
11782,20000,29999,A Level,39,2,Owned outright,0,24999.5
11785,20000,29999,Higher education,46,0,Mortgaged,0,24999.5
11790,10000,19999,Other,74,0,Owned outright,1,14999.5
11791,60000,69999,Degree or higher,36,0,Mortgaged,0,64999.5
11795,40000,49999,Degree or higher,42,1,Owned outright,0,44999.5
11796,30000,39999,Higher education,64,0,Other,0,34999.5
11799,20000,29999,Higher education,49,1,Rented,0,24999.5
11800,10000,19999,GCSE,43,4,Rented,0,14999.5
11804,40000,49999,GCSE,33,4,Rented,0,44999.5
11806,70000,,Degree or higher,31,4,Mortgaged,0,35000
11828,,,Degree or higher,64,0,Owned outright,0,0
11829,,,GCSE,64,0,Rented,0,0
11831,40000,49999,A Level,46,1,Rented,0,44999.5
11834,70000,,GCSE,40,2,Mortgaged,0,35000
11837,30000,39999,Degree or higher,43,0,Mortgaged,0,34999.5
11838,50000,59999,Higher education,47,2,Rented,0,54999.5
11861,20000,29999,Degree or higher,23,1,Rented,0,24999.5
11864,20000,29999,A Level,45,0,Mortgaged,0,24999.5
11868,30000,39999,Degree or higher,37,0,Rented,0,34999.5
11873,20000,29999,None,65,0,Rented,1,24999.5
11875,30000,39999,Higher education,56,0,Mortgaged,0,34999.5
11889,10000,19999,Other,72,0,Owned outright,1,14999.5
11890,20000,29999,Higher education,69,0,Owned outright,1,24999.5
11892,,,GCSE,36,1,Mortgaged,0,0
11896,30000,39999,GCSE,51,0,Mortgaged,0,34999.5
119,,,None,78,0,Owned outright,1,0
1190,50000,59999,Degree or higher,78,0,Owned outright,1,54999.5
11904,10000,19999,Other,71,0,Rented,1,14999.5
11909,50000,59999,Degree or higher,41,0,Mortgaged,0,54999.5
11911,50000,59999,GCSE,39,3,Mortgaged,0,54999.5
11915,,,Higher education,52,1,Owned outright,0,0
11917,30000,39999,Degree or higher,76,0,Owned outright,1,34999.5
1192,20000,29999,Degree or higher,36,0,Rented,0,24999.5
11922,10000,19999,GCSE,59,0,Owned outright,0,14999.5
11928,30000,39999,Higher education,44,2,Mortgaged,0,34999.5
11929,10000,19999,Degree or higher,71,0,Owned outright,1,14999.5
11937,50000,59999,GCSE,66,0,Owned outright,0,54999.5
11943,40000,49999,A Level,48,1,Mortgaged,0,44999.5
11946,40000,49999,GCSE,49,0,Mortgaged,0,44999.5
11948,,,Degree or higher,53,0,Rented,0,0
11963,20000,29999,GCSE,49,0,Rented,0,24999.5
11976,20000,29999,A Level,63,0,Owned outright,0,24999.5
11979,,,Degree or higher,66,0,Owned outright,0,0
11985,40000,49999,Degree or higher,42,1,Mortgaged,0,44999.5
11989,20000,29999,Degree or higher,37,3,Owned outright,0,24999.5
1199,10000,19999,A Level,58,0,Mortgaged,0,14999.5
11994,10000,19999,Higher education,55,2,Mortgaged,0,14999.5
12004,10000,19999,Higher education,84,0,Owned outright,1,14999.5
12006,20000,29999,A Level,70,0,Owned outright,1,24999.5
12015,20000,29999,GCSE,58,0,Mortgaged,0,24999.5
12018,0,9999,None,57,0,Rented,0,4999.5
12023,10000,19999,Degree or higher,41,2,Mortgaged,0,14999.5
12024,30000,39999,Other,67,0,Rented,1,34999.5
12025,10000,19999,Other,79,0,Owned outright,1,14999.5
1203,10000,19999,Degree or higher,67,0,Owned outright,1,14999.5
12034,70000,,A Level,47,0,Mortgaged,0,35000
12040,40000,49999,A Level,38,2,Mortgaged,0,44999.5
12041,20000,29999,A Level,49,0,Rented,0,24999.5
12051,20000,29999,Degree or higher,46,1,Mortgaged,0,24999.5
12052,20000,29999,A Level,53,0,Owned outright,0,24999.5
12054,10000,19999,Higher education,29,2,Owned outright,0,14999.5
12059,30000,39999,Degree or higher,31,2,Mortgaged,0,34999.5
12060,50000,59999,A Level,49,2,Mortgaged,0,54999.5
1207,50000,59999,GCSE,55,0,Mortgaged,0,54999.5
12071,40000,49999,Degree or higher,47,2,Mortgaged,0,44999.5
12072,10000,19999,None,56,0,Rented,0,14999.5
1208,10000,19999,Higher education,80,0,Owned outright,1,14999.5
12088,,,GCSE,53,0,Rented,0,0
12091,50000,59999,Higher education,37,1,Rented,0,54999.5
12094,20000,29999,Degree or higher,38,2,Other,0,24999.5
12095,70000,,Degree or higher,49,0,Mortgaged,0,35000
12097,20000,29999,GCSE,59,0,Owned outright,0,24999.5
12100,40000,49999,GCSE,47,1,Mortgaged,0,44999.5
12103,30000,39999,GCSE,40,2,Mortgaged,0,34999.5
12105,30000,39999,Higher education,40,1,Mortgaged,0,34999.5
12106,30000,39999,A Level,43,0,Mortgaged,0,34999.5
12118,60000,69999,A Level,61,0,Mortgaged,0,64999.5
12123,,,Degree or higher,69,0,Owned outright,1,0
12130,30000,39999,Degree or higher,46,2,Owned outright,0,34999.5
12136,70000,,Degree or higher,49,0,Owned outright,0,35000
12137,20000,29999,Degree or higher,44,0,Owned outright,0,24999.5
12140,20000,29999,Degree or higher,83,0,Owned outright,1,24999.5
12142,50000,59999,Degree or higher,44,0,Owned outright,0,54999.5
